것,참다,놓치다,집어넣다,다정하다,비판적
학년,인제,탤런트,콩나물,미끄러지다,맘대로
신문,충격,특별히,튀어나오다,바닷물,머리말
가지다,퍼지다,품질,표준,변신,면접
이해하다,금방,회견,항구,부친,명함
제품,남쪽,훔치다,허용,붙잡히다,몸속
분야,누르다,흔적,헬기,브랜드,무책임하다
선생,미술,고전,간신히,빨다,반짝거리다
돌아가다,백성,과학적,갈아입다,사무,밤새우다
사업,상당히,구분하다,감다,사소하다,번지
행위,색깔,그럼,같이하다,상,볼펜
수준,요리,뇌,거짓,상쾌하다,빨간색
지난해,유명하다,봉투,거품,성,사립
표현,자네,분명,걸어오다,손길,사생활
기분,기,사설,공군,순위,사이사이
대,꽤,승리,기술자,식사하다,사자
젊다,서로,좌우,나물,쌍,새소리
동시,외국인,주,달리기,썰렁하다,생활수준
옷,한참,지다,대도시,암시,서툴다
기능,군사,추억,도둑,앞날,석사
순간,끊다,하여튼,도전,역사상,성당
전쟁,넘어가다,함부로,면,연주,속마음
전,담기다,향기,모자,우울하다,손잡다
꿈,마당,현지,보조,우체국,숙녀
할머니,부인,가늘다,불리하다,울리다,순하다
회의,서두르다,개인적,불편,육상,시댁
방송,지적,겉,비비다,음주,시부모
이야기하다,짝,굽히다,사과,이별,신체적
나무,참으로,근무하다,살아나다,인재,실수하다
자다,충분하다,깜짝,소파,인종,쓴맛
연극,기쁘다,넓히다,속이다,일시적,야옹
오늘,뛰다,대,수면,재밌다,얼마간
마찬가지,숙제,떠들다,수천,전문적,올여름
걷다,앞두다,매년,스무,젊음,외제
노동,예산,발생,승부,점잖다,외출하다
이때,온갖,셋,시기,조개,욕하다
과거,우려,소주,신념,주무시다,위아래
가치,우산,손바닥,신입생,중계방송,음반
시간,기쁨,승용차,어린아이,중독,의논
집단,깊이,어색하다,어쩐지,지급,이
현대,꾸미다,얹다,여간,진실하다,이래서
살펴보다,늘리다,의학,역,차창,이발소
장관,무릎,장점,연락하다,초청하다,자살하다
차이,발견되다,적당히,영향력,출발점,자연적
풀다,보호하다,줍다,예의,출판,장례식
시절,시스템,진출,이내,출현하다,재수
물건,이용,창조,이리저리,클럽,재작년
직접,지난달,킬로그램,인간적,키스,재채기
개인,지르다,평범하다,인사하다,탈출하다,전구
근데,참여,프로,임금,판사,전문점
발,걸음,홍보,잘나다,허락,전통문화
작가,겨우,확인,재능,확신,정거장
효과,마르다,가루,지불하다,흐리다,존댓말
불교,비교적,건지다,파출소,걱정스럽다,주전자
끌다,애쓰다,깨지다,판,건설되다,지우다
대로,올바르다,내다보다,한문,고개,찬성
빨리,책상,대량,건네주다,고프다,초보자
시작되다,춥다,동행,결승,그제야,초청장
둘,흔하다,들,공공,금연,촌스럽다
말다,높아지다,떼,교양,기성세대,카레
설명하다,늙다,마땅하다,국왕,기술하다,컨디션
우주,단위,바로잡다,규칙적,까치,코스모스
시기,둘째,박히다,극복,꿈속,킬로
마치,뛰어나다,방금,글쎄요,나비,토론자
살,무겁다,생선,내려지다,남북,튼튼히
생산,바람,슬픔,냉동,납득하다,티셔츠
바라다,상상,아무렇다,녹다,단,페인트
강하다,소득,이용되다,대개,대사관,평상시
경험,수도,이튿날,년생,독창적,학교생활
음악,역,임시,배추,되풀이되다,한둘
최고,인식하다,제거하다,센터,떠나가다,해물
나타내다,자,줄다,수염,떠들썩하다,형
아프다,침대,지구,수집하다,뜻대로,혼나다
적다,권,지우다,승객,레스토랑,가만
비,뜨다,참기름,싱싱하다,로봇,감정적
고향,맺다,통,아아,만점,강북
놀라다,수요,특수,어리다,매달,거리
다양하다,스타,팬,여권,모여들다,고무신
울다,시계,합치다,열쇠,묵다,고춧가루
농민,입술,호기심,오렌지,바깥쪽,관람
드러나다,잎,골목,외모,배고프다,교외
은행,중간,기운,인공,버섯,교육비
지내다,지도자,기획,잠자리,보수,국립
결혼,천천히,대충,장남,보안,금
동생,구성하다,돌아서다,저마다,뵈다,기억되다
법,대체로,동화,전국적,부,까다
소설,때리다,두껍다,전반,비웃다,꽃씨
예,몹시,맞서다,제자리,비키다,꾸준하다
오후,문득,모자라다,지루하다,사나이,난방
질서,스포츠,박다,척,사모님,내용물
담다,위원장,본성,포도주,삼,녹화
모이다,저기,상상하다,학술,상징적,농구
시민,특별하다,생산력,혈액,색다르다,달다
회장,효과적,셋째,화살,세미나,뒷골목
빠르다,가까이,안전하다,화재,세제,들어주다
스스로,낫다,유학,가르다,속삭이다,디자이너
아기,넘어서다,이르다,각각,시일,따로따로
아저씨,볶다,장비,간격,시합,뛰어나가다
옛날,생산하다,정치인,고함,신속하다,뛰어놀다
